Date;Side;Win/Lose;Player;Lane;Hero;Ban Hero;Spell;Team;Opponent;Game 1 - 3;Kill;Death;Assist;Duration;Map;Bracket
14/07/2026;Blue;Win;Jessica66;Explane;Alice;Mathilda;Flicker;SAETA;Falcons Vega;1 - 0;0;2;5;14:11;Broken Walls;UB Quarterfinals
14/07/2026;Blue;Win;Zhou;Jungler;Hirara;Atlas;Retribution;SAETA;Falcons Vega;1 - 0;2;1;2;14:11;Broken Walls;UB Quarterfinals
14/07/2026;Blue;Win;Namei;Midlane;Yve;Gloo;Flicker;SAETA;Falcons Vega;1 - 0;1;0;9;14:11;Broken Walls;UB Quarterfinals
14/07/2026;Blue;Win;Gaigai;Goldlane;Karrie;Fredrinn;Purify;SAETA;Falcons Vega;1 - 0;4;0;2;14:11;Broken Walls;UB Quarterfinals
14/07/2026;Blue;Win;FanHua;Roam;Gatot Kaca;Harith;Revitalize;SAETA;Falcons Vega;1 - 0;4;1;5;14:11;Broken Walls;UB Quarterfinals
14/07/2026;Red;Lose;Violet;Explane;Phoveus;Marcel;Flicker;Falcons Vega;SAETA;0 - 1;0;4;2;14:11;Broken Walls;UB Quarterfinals
14/07/2026;Red;Lose;Xev;Jungler;Suyou;Carmilla;Retribution;Falcons Vega;SAETA;0 - 1;1;3;2;14:11;Broken Walls;UB Quarterfinals
14/07/2026;Red;Lose;Livii;Midlane;Gord;Baxia;Flicker;Falcons Vega;SAETA;0 - 1;1;2;1;14:11;Broken Walls;UB Quarterfinals
14/07/2026;Red;Lose;Liv;Goldlane;Moskov;Esmeralda;Purify;Falcons Vega;SAETA;0 - 1;2;0;1;14:11;Broken Walls;UB Quarterfinals
14/07/2026;Red;Lose;Remund;Roam;Belerick;Minotaur;Flicker;Falcons Vega;SAETA;0 - 1;0;2;2;14:11;Broken Walls;UB Quarterfinals
14/07/2026;Red;Win;Jessica66;Explane;Esmeralda;Akai;Vengeance;SAETA;Falcons Vega;2 - 0;4;0;3;14:10;Dangerous Grass;UB Quarterfinals
14/07/2026;Red;Win;Zhou;Jungler;Baxia;X Borg;Retribution;SAETA;Falcons Vega;2 - 0;0;2;13;14:10;Dangerous Grass;UB Quarterfinals
14/07/2026;Red;Win;Namei;Midlane;Yve;Atlas;Flicker;SAETA;Falcons Vega;2 - 0;4;2;10;14:10;Dangerous Grass;UB Quarterfinals
14/07/2026;Red;Win;Gaigai;Goldlane;Claude;Mathilda;Flicker;SAETA;Falcons Vega;2 - 0;6;0;6;14:10;Dangerous Grass;UB Quarterfinals
14/07/2026;Red;Win;FanHua;Roam;Tigreal;Hirara;Flicker;SAETA;Falcons Vega;2 - 0;3;1;10;14:10;Dangerous Grass;UB Quarterfinals
14/07/2026;Blue;Lose;Violet;Explane;Paquito;Marcel;Flicker;Falcons Vega;SAETA;0 - 2;1;3;2;14:10;Dangerous Grass;UB Quarterfinals
14/07/2026;Blue;Lose;Xev;Jungler;Hanzo;Moskov;Retribution;Falcons Vega;SAETA;0 - 2;2;1;1;14:10;Dangerous Grass;UB Quarterfinals
14/07/2026;Blue;Lose;Livii;Midlane;Zhuxin;Carmilla;Purify;Falcons Vega;SAETA;0 - 2;1;6;3;14:10;Dangerous Grass;UB Quarterfinals
14/07/2026;Blue;Lose;Liv;Goldlane;Irithel;Karrie;Purify;Falcons Vega;SAETA;0 - 2;1;2;2;14:10;Dangerous Grass;UB Quarterfinals
14/07/2026;Blue;Lose;Remund;Roam;Hylos;Phoveus;Revitalize;Falcons Vega;SAETA;0 - 2;0;5;4;14.10;Dangerous Grass;UB Quarterfinals
14/07/2026;Red;Win;Noraa;Explane;Alice;Marcel;Flicker;Team Rey Young;Aurora Storm;1 - 0;1;4;10;20:41;Expanding Rivers;UB Quarterfinals
14/07/2026;Red;Win;Tann;Jungler;Lancelot;Zhuxin;Retribution;Team Rey Young;Aurora Storm;1 - 0;5;2;6;20:41;Expanding Rivers;UB Quarterfinals
14/07/2026;Red;Win;Mikuu;Midlane;Lylia;Suyou;Purify;Team Rey Young;Aurora Storm;1 - 0;4;2;14;20:41;Expanding Rivers;UB Quarterfinals
14/07/2026;Red;Win;Qu1nn;Goldlane;Hanabi;Freya;Aegis;Team Rey Young;Aurora Storm;1 - 0;8;1;8;20:41;Expanding Rivers;UB Quarterfinals
14/07/2026;Red;Win;Qiiboyyy;Roam;Gloo;Uranus;Flicker;Team Rey Young;Aurora Storm;1 - 0;1;5;14;20:41;Expanding Rivers;UB Quarterfinals
14/07/2026;Blue;Lose;Luette;Explane;Sora;Belerick;Flicker;Aurora Storm;Team Rey Young;0 - 1;5;7;6;20:41;Expanding Rivers;UB Quarterfinals
14/07/2026;Blue;Lose;Anu;Jungler;Hirara;Gord;Retribution;Aurora Storm;Team Rey Young;0 - 1;2;0;9;20:41;Expanding Rivers;UB Quarterfinals
14/07/2026;Blue;Lose;zulaana;Midlane;Lunox;Guinevere;Flicker;Aurora Storm;Team Rey Young;0 - 1;6;3;5;20:41;Expanding Rivers;UB Quarterfinals
14/07/2026;Blue;Lose;Mobsaiko;Goldlane;Moskov;Obsidia;Flicker;Aurora Storm;Team Rey Young;0 - 1;1;1;8;20:41;Expanding Rivers;UB Quarterfinals
14/07/2026;Blue;Lose;Nikaa;Roam;Atlas;Hanzo;Flicker;Aurora Storm;Team Rey Young;0 - 1;0;8;11;20:41;Expanding Rivers;UB Quarterfinals
14/07/2026;Red;Win;Noraa;Explane;Esmeralda;Marcel;Purify;Team Rey Young;Aurora Storm;2 - 0;0;1;10;19:01;Dangerous Grass;UB Quarterfinals
14/07/2026;Red;Win;Tann;Jungler;Suyou;Zhuxin;Retribution;Team Rey Young;Aurora Storm;2 - 0;8;2;3;19:01;Dangerous Grass;UB Quarterfinals
14/07/2026;Red;Win;Mikuu;Midlane;Lylia;Atlas;Purify;Team Rey Young;Aurora Storm;2 - 0;4;4;8;19:01;Dangerous Grass;UB Quarterfinals
14/07/2026;Red;Win;Qu1nn;Goldlane;Claude;Moskov;Purify;Team Rey Young;Aurora Storm;2 - 0;2;1;9;19:01;Dangerous Grass;UB Quarterfinals
14/07/2026;Red;Win;Qiiboyyy;Roam;Badang;Arlott;Flicker;Team Rey Young;Aurora Storm;2 - 0;3;4;7;19:01;Dangerous Grass;UB Quarterfinals
14/07/2026;Blue;Lose;Luette;Explane;Freya;Belerick;Vengeance;Aurora Storm;Team Rey Young;0 - 2;2;2;4;19:01;Dangerous Grass;UB Quarterfinals
14/07/2026;Blue;Lose;Anu;Jungler;Guinevere;Alice;Retribution;Aurora Storm;Team Rey Young;0 - 2;1;4;8;19:01;Dangerous Grass;UB Quarterfinals
14/07/2026;Blue;Lose;zulaana;Midlane;Gord;Gloo;Flicker;Aurora Storm;Team Rey Young;0 - 2;6;4;3;19:01;Dangerous Grass;UB Quarterfinals
14/07/2026;Blue;Lose;Mobsaiko;Goldlane;Clint;Hanabi;Flicker;Aurora Storm;Team Rey Young;0 - 2;2;2;8;19:01;Dangerous Grass;UB Quarterfinals
14/07/2026;Blue;Lose;Nikaa;Roam;Minotaur;Harith;Flicker;Aurora Storm;Team Rey Young;0 - 2;1;5;6;19:01;Dangerous Grass;UB Quarterfinals
14/07/2026;Blue;Win;Lyubon;Explane;Terizla;Freya;Flicker;Geltek Cyber Team;Geekay Esports FE;1 - 0;4;2;10;17:32;Expanding Rivers;UB Quarterfinals
14/07/2026;Blue;Win;Kioway;Jungler;Hirara;Marcel;Retribution;Geltek Cyber Team;Geekay Esports FE;1 - 0;4;1;10;17:32;Expanding Rivers;UB Quarterfinals
14/07/2026;Blue;Win;Sonjjqkke;Midlane;Valir;Zhuxin;Flicker;Geltek Cyber Team;Geekay Esports FE;1 - 0;3;0;15;17:32;Expanding Rivers;UB Quarterfinals
14/07/2026;Blue;Win;Tokio;Goldlane;Claude;Clint;Purify;Geltek Cyber Team;Geekay Esports FE;1 - 0;5;0;9;17:32;Expanding Rivers;UB Quarterfinals
14/07/2026;Blue;Win;KUWEJO;Roam;Atlas;Bruno;Flicker;Geltek Cyber Team;Geekay Esports FE;1 - 0;3;2;15;17:32;Expanding Rivers;UB Quarterfinals
14/07/2026;Red;Lose;Alyssa;Explane;Esmeralda;Yve;Purify;Geekay Esports FE;Geltek Cyber Team;0 - 1;0;5;2;17:32;Expanding Rivers;UB Quarterfinals
14/07/2026;Red;Lose;Alecta;Jungler;Baxia;Nolan;Retribution;Geekay Esports FE;Geltek Cyber Team;0 - 1;0;4;5;17:32;Expanding Rivers;UB Quarterfinals
14/07/2026;Red;Lose;Yui;Midlane;Valentina;Phoveus;Purify;Geekay Esports FE;Geltek Cyber Team;0 - 1;3;3;2;17:32;Expanding Rivers;UB Quarterfinals
14/07/2026;Red;Lose;Nephyria;Goldlane;Lesley;Gord;Flicker;Geekay Esports FE;Geltek Cyber Team;0 - 1;2;2;2;17:32;Expanding Rivers;UB Quarterfinals
14/07/2026;Red;Lose;Assu;Roam;Khufra;Benedetta;Flicker;Geekay Esports FE;Geltek Cyber Team;0 - 1;0;5;5;17:32;Expanding Rivers;UB Quarterfinals
14/07/2026;Red;Win;Lyubon;Explane;Esmeralda;Freya;Flicker;Geltek Cyber Team;Geekay Esports FE;2 - 0;6;3;9;19:04;Expanding Rivers;UB Quarterfinals
14/07/2026;Red;Win;Kioway;Jungler;Hayabusa;Zhuxin;Retribution;Geltek Cyber Team;Geekay Esports FE;2 - 0;3;2;18;19:04;Expanding Rivers;UB Quarterfinals
14/07/2026;Red;Win;Sonjjqkke;Midlane;Valentina;Marcel;Flicker;Geltek Cyber Team;Geekay Esports FE;2 - 0;10;2;10;19:04;Expanding Rivers;UB Quarterfinals
14/07/2026;Red;Win;Tokio;Goldlane;Claude;Gord;Purify;Geltek Cyber Team;Geekay Esports FE;2 - 0;4;3;16;19:04;Expanding Rivers;UB Quarterfinals
14/07/2026;Red;Win;KUWEJO;Roam;Belerick;Kimmy;Revitalize;Geltek Cyber Team;Geekay Esports FE;2 - 0;1;4;18;19:04;Expanding Rivers;UB Quarterfinals
14/07/2026;Blue;Lose;Alyssa;Explane;Paquito;Hirara;Flicker;Geekay Esports FE;Geltek Cyber Team;0 - 2;4;6;6;19:04;Expanding Rivers;UB Quarterfinals
14/07/2026;Blue;Lose;Alecta;Jungler;Baxia;Yve;Retribution;Geekay Esports FE;Geltek Cyber Team;0 - 2;2;4;8;19:04;Expanding Rivers;UB Quarterfinals
14/07/2026;Blue;Lose;Yui;Midlane;Faramis;Phoveus;Purify;Geekay Esports FE;Geltek Cyber Team;0 - 2;1;6;9;19:04;Expanding Rivers;UB Quarterfinals
14/07/2026;Blue;Lose;Nephyria;Goldlane;Harith;Nolan;Purify;Geekay Esports FE;Geltek Cyber Team;0 - 2;5;3;6;19:04;Expanding Rivers;UB Quarterfinals
14/07/2026;Blue;Lose;Assu;Roam;Hylos;Atlas;Revitalize;Geekay Esports FE;Geltek Cyber Team;0 - 2;2;5;8;19:04;Expanding Rivers;UB Quarterfinals
14/07/2026;Red;Lose;Rafa;Explane;Guinevere;Hirara;Flicker;Virtus.pro MENA;Twisted Minds VN;0 - 1;2;3;2;14:39;Broken Walls;UB Quarterfinals
14/07/2026;Red;Lose;Miss Meow;Jungler;Akai;Zhuxin;Retribution;Virtus.pro MENA;Twisted Minds VN;0 - 1;1;2;3;14:39;Broken Walls;UB Quarterfinals
14/07/2026;Red;Lose;Livin;Midlane;Gord;Paquito;Flicker;Virtus.pro MENA;Twisted Minds VN;0 - 1;0;2;4;14:39;Broken Walls;UB Quarterfinals
14/07/2026;Red;Lose;Lunar;Goldlane;Moskov;Esmeralda;Flicker;Virtus.pro MENA;Twisted Minds VN;0 - 1;2;1;2;14:39;Broken Walls;UB Quarterfinals
14/07/2026;Red;Lose;Minun;Roam;Gatot Kaca;Uranus;Revitalize;Virtus.pro MENA;Twisted Minds VN;0 - 1;0;3;5;14:39;Broken Walls;UB Quarterfinals
14/07/2026;Blue;Win;Daisy;Explane;Lapu lapu;Atlas;Flicker;Twisted Minds VN;Virtus.pro MENA;1 - 0;3;1;2;14:39;Broken Walls;UB Quarterfinals
14/07/2026;Blue;Win;Meylane;Jungler;Barats;Freya;Retribution;Twisted Minds VN;Virtus.pro MENA;1 - 0;1;1;6;14:39;Broken Walls;UB Quarterfinals
